所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/行政综合(#11),检查页面元素是否完整-采购登记,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】",1. 在快捷导航栏中【行政综合】下单击【采购登记】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段
/行政综合(#11),采购登记-新增,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏中【行政综合】下单击【采购登记】","1.单击【新增】
2.名称输入""电脑""
3.型号输入""T420""
4.条形码输入""20200426103""
5.采购价输入""5000""
6.归属人输入""校长""
7.采购时间输入""2020-04-07""
8.备注输入""采购""
9.资产归属输入""公司""
10.单击【保存】",1. 页面列表中显示该条数据,,1,功能测试,系统测试阶段
/行政综合(#11),采购登记-批量新增,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏中【行政综合】下单击【采购登记】","1.单击【新增】
2.名称输入""电脑""
3.型号输入""T420""
4.条形码输入""20200426103""
5.条数输入""15""
6.采购价输入""5000""
7.归属人输入""校长""
8.采购时间输入""2020-04-07""
9.备注输入""采购""
10.资产归属输入""公司""
11.单击【保存】",1. 页面列表中显示15条数据，且数据中条形码逐个排序,,1,功能测试,系统测试阶段
/行政综合(#11),采购登记-修改,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏中【行政综合】下单击【采购登记】","1.单击任意【新修改】
2.归属人输入""校长""
3.采购时间输入""2020-04-06""
4.状态输入""可使用""
5.资产归属输入""公司""
6.单击【保存】",1. 页面列表中显示该条数据以修改后的数据内容,,1,功能测试,系统测试阶段
/行政综合(#11),检查页面元素是否完整-领用登记,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】",1. 在快捷导航栏中【行政综合】下单击【领用登记】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段
/行政综合(#11),领用登记-新增,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏中【行政综合】下单击【采购登记】","1.单击【新增】
2.资产条码输入""11122111137""
3.类型输入""员工""
4.领用人输入""jack""
5.备注输入""领用""
6.单击【确认保存】",1. 页面列表中显示该条数据,,1,功能测试,系统测试阶段
/行政综合(#11),领用登记-归还,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】
4.在快捷导航栏中【行政综合】下单击【采购登记】","1.单击【归还】
2.单击【确定】
3.弹出归还成功窗口，单击【确定】","1.在快捷导航栏中【行政综合】下单击【归还记录】
2.出现该条数据的归还记录",,1,功能测试,系统测试阶段
/行政综合(#11),检查页面元素是否完整-归还记录,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【行政综合】",1. 在快捷导航栏中【行政综合】下单击【归还记录】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
