所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表
/财务管理(#10),检查页面元素是否完整-财务流水,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】",1. 在快捷导航栏中【财务管理】下单击【财务流水】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
/财务管理(#10),财务流水-添加收入,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【财务流水】","1.单击【添加收入】
2.一级科目输入""主营业务收入""
3.二级科目输入""就业培训""
4.收入方输入""学费账户""
5.支出方输入""刘吉""
6.支出账号输入""无""
7.交易金额输入""8000""
8.结算方式输入""支付宝""
9.交易时间输入""2020-02-20""
10.校区输入""成都""
11.摘要输入""暂无""
12.单击【保存】",1. 页面列表生成该条数据,,1,功能测试,系统测试阶段,,,
/财务管理(#10),财务流水-添加收入-修改,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【财务流水】","1.单击收入类型为""收入""类型数据的【修改】
2.一级科目输入""主营业务收入""
3.二级科目输入""就业培训""
4.收入方输入""学费账户""
5.支出方输入""刘吉""
6.支出账号输入""无""
7.交易金额输入""8000""
8.结算方式输入""支付宝""
9.交易时间输入""2020-02-20""
10.校区输入""成都""
11.凭证编号""""
12.摘要输入""重新发""
13.单击【保存】",1. 页面列表生该条数据已修改,,1,功能测试,系统测试阶段,,,
/财务管理(#10),财务流水-添加支出,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【财务流水】","1.单击【添加支出】
2.一级科目输入""主营业务支出""
3.二级科目输入""学员奖金""
4.支出方输入""学费账户""
5.收入方输入""张丽""
6.收入账号输入""无""
7.交易金额输入""10000""
8.结算方式输入""现金""
9.交易时间输入""2020-04-09""
10.校区输入成都""""
11.摘要输入""奖励""
12.单击【保存】",1. 页面列表生成该条数据,,1,功能测试,系统测试阶段,,,
/财务管理(#10),财务流水-添加支出-修改,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【财务流水】","1.单击收入类型为""支出""类型数据的【修改】
2.一级科目输入""主营业务支出""
3.二级科目输入""学员奖金""
4.支出方输入""学费账户""
5.收入方输入""张丽""
6.收入账号输入""无""
7.交易金额输入""10000""
8.结算方式输入""现金""
9.交易时间输入""2020-04-09""
10.校区输入""成都""
11.凭证编号""""
12.摘要输入""重新发""
13.单击【保存】",1. 页面列表生该条数据已修改,,1,功能测试,系统测试阶段,,,
/财务管理(#10),财务流水-添加内部流转,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【财务流水】","1.单击【添加内部流转】
2.一级科目输入""内部流转款项""
3.二级科目输入""预支出""
4.转出方输入""学费账户""
5.转入方输入""学费账户""
6.收入账号输入""5869562565254""
7.交易金额输入""10000""
8.结算方式输入""现金""
9.交易时间输入""2020-04-09""
10.校区输入成都""""
11.摘要输入""预支""
12.单击【保存】",1. 页面列表生成该条数据,,1,功能测试,系统测试阶段,,,
/财务管理(#10),财务流水-添加内部流转-修改,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【财务流水】","1.单击收入类型为""支出""类型数据的【修改】
2.一级科目输入""内部流转款项""
3.二级科目输入""预支出""
4.转出方输入""学费账户""
5.转入方输入""学费账户""
6.收入账号输入""5869562565254""
7.交易金额输入""10000""
8.结算方式输入""现金""
9.交易时间输入""2020-04-09""
10.校区输入成都""""
11.摘要输入""预支""
11.凭证编号""""
12.摘要输入""重新发""
13.单击【保存】",1. 页面列表生该条数据已修改,,1,功能测试,系统测试阶段,,,
/财务管理(#10),财务流水-复核,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【财务流水】","1.单击任意数据【复核】
2.单击【确定】
3.单击【确定】",1. 该条数据复核状态变为"已复核",,1,功能测试,系统测试阶段,,,
/财务管理(#10),检查页面元素是否完整-预支结算,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】",1. 在快捷导航栏中【财务管理】下单击【预支结算】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
/财务管理(#10),预支结算-功能验证,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【财务管理】
4.在快捷导航栏中【财务管理】下单击【预支结算】","1.在快捷导航栏中【财务管理】下单击【财务流水】
2.单击【添加内部流转】
3.一级科目输入""内部流转款项""
4.二级科目输入""预支出""
5.转出方输入""学费账户""
6.转入方输入""学费账户""
7.收入账号输入""5869562565254""
8.交易金额输入""10000""
9.结算方式输入""现金""
10.交易时间输入""2020-04-09""
11.校区输入成都""""
12.摘要输入""预支""
13.单击【保存】
14在快捷导航栏中【财务管理】下单击【预支结算】
15.页面列表中出现该条数据",1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段,,,
