所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/人事管理(#7),检查页面元素是否完整-人事管理,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123",1. 在快捷导航栏中单击【人事管理】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段
/人事管理(#7),检查页面元素是否完整-人事管理-员工管理,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】",1. 在页面【人事管理】中单击【员工管理】,1. 页面显示与SRS原型图一致,,1,功能测试,系统测试阶段
/人事管理/员工管理(#208),【区域】下拉框显示,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】",1. 单击【区域】下拉框,1. 显示"全部"、"成都"、"重庆"、"西安",,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【区域】下拉框搜索-"成都","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】","1. 单击【区域】选取框
2. 选取""成都""",1. 只显示"区域"为"成都"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【区域】下拉框搜索-"西安","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】","1. 单击【区域】选取框
2. 选取""西安""",1. 只显示"区域"为"西安"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【区域】下拉框搜索-"重庆","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】","1. 单击【区域】选取框
2. 选取""重庆""",1. 只显示"区域"为"重庆"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【区域】下拉框搜索-"全部","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】","1. 单击【区域】选取框
2. 选取""全部""",1. 只显示"区域"为"全部"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【部门】下拉框显示,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】",1. 单击【部门】下拉框,1. 显示"全部"、"管理部"、"就业部"、"咨询部"、"电销部"、"渠道部"、"市场部"、"教学部"、"研发部"、"财务部",,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【部门】下拉框搜索-"全部","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】
5. 单击【区域】选取框
6. 选取""成都""","1. 单击【部门】选取框
2. 选取""全部""",1. 只显示"部门"为"全部"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【部门】下拉框搜索-"就业部","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】
5. 单击【区域】选取框
6. 选取""成都""","1. 单击【部门】选取框
2. 选取""就业部""",1. 只显示"部门"为"就业部"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【部门】下拉框搜索-"咨询部","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】
5. 单击【区域】选取框
6. 选取""成都""","1. 单击【部门】选取框
2. 选取""咨询部""",1. 只显示"部门"为"咨询部"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【部门】下拉框搜索-"电销部","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】
5. 单击【区域】选取框
6. 选取""成都""","1. 单击【部门】选取框
2. 选取""电销部""",1. 只显示"部门"为"电销部"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【部门】下拉框搜索-"渠道部","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】
5. 单击【区域】选取框
6. 选取""成都""","1. 单击【部门】选取框
2. 选取""渠道部""",1. 只显示"部门"为"渠道部"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【部门】下拉框搜索-"市场部","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】
5. 单击【区域】选取框
6. 选取""成都""","1. 单击【部门】选取框
2. 选取""市场部""",1. 只显示"部门"为"市场部"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【部门】下拉框搜索-"教学部","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】
5. 单击【区域】选取框
6. 选取""成都""","1. 单击【部门】选取框
2. 选取""教学部""",1. 只显示"部门"为"教学部"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【部门】下拉框搜索-"研发部","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】
5. 单击【区域】选取框
6. 选取""成都""","1. 单击【部门】选取框
2. 选取""研发部""",1. 只显示"部门"为"研发部"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【部门】下拉框搜索-"财务部","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】
5. 单击【区域】选取框
6. 选取""成都""","1. 单击【部门】选取框
2. 选取""财务部""",1. 只显示"部门"为"财务部"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【状态】下拉框显示,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】",1. 单击【状态】下拉框,1. 显示"全部"、"适用"、"在职"、"离职"、"产假"、,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【状态】下拉框搜索-"全部","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】","1. 单击【状态】选取框
2. 选取""全部""",1. 只显示"状态"为"全部"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【状态】下拉框搜索-"试用","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】","1. 单击【状态】选取框
2. 选取""试用""",1. 只显示"状态"为"试用"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【状态】下拉框搜索-"在职","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】","1. 单击【状态】选取框
2. 选取""在职""",1. 只显示"状态"为"在职"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【状态】下拉框搜索-"离职","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】","1. 单击【状态】选取框
2. 选取""离职""",1. 只显示"状态"为"离职"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【状态】下拉框搜索-"产假","1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】","1. 单击【状态】选取框
2. 选取""产假""",1. 只显示"状态"为"产假"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【状态】-【区域】组合搜索,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】","1. 单击【状态】选取框
2. 选取""试用""
3. 单击【区域】选取框
4. 选取""成都""","1. 
2. 
3. 
4. 只显示""区域""为""成都""且""状态""为""试用""",,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【状态】-【部门】组合搜索,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】、","1. 单击【状态】选取框
2. 选取""试用""
3. 单击【部门】选取框
4. 选取""管理部""
5. 单击【区域】选取框
6. 选取""成都""","1. 
2. 
3. 
4. 
5. 
6. 只显示""区域""为""成都""、""状态""为""试用""且""部门""为""管理部""的数据",,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【姓名】输入框搜索,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】","1. 【姓名】输入框输入""陈华""
2. 单击【查询】",1. 只显示"姓名"为"陈华"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【姓名】-【状态】联合查询,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】","1. 单击【区域】选取框
2. 选取""西安""
3. 【姓名】输入框输入""陈华""
4. 单击【查询】",1. 只显示"区域"为"西安"且"姓名"为"陈华"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【姓名】-【区域】联合查询,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】","1. 单击【状态】选取框
2. 选取""在职""
3. 【姓名】输入框输入""陈华""
4. 单击【查询】",1. 只显示"状态"为"在职"且"姓名"为"陈华"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【姓名】-【区域】-【部门】联合查询,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】","1. 单击【状态】选取框
2. 选取""在职""
3. 单击【部门】选取框
4. 选取""管理部""
5. 【姓名】输入框输入""陈华""
6. 单击【查询】",1. 只显示"状态"为"在职"、"部门"为"管理部"且"姓名"为"陈华"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【姓名】-【区域】-【部门】-【状态】联合查询,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】","1. 单击【状态】选取框
2. 选取""在职""
3. 单击【部门】选取框
4. 选取""管理部""
5. 单击【状态】选取框
6. 选取""在职""
7. 【姓名】输入框输入""陈华""
8. 单击【查询】",1. 只显示"区域"为"西安"、"部门"为"管理部"、"状态"为"在职"且"姓名"为"陈华"的数据,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),翻页功能,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】",1. 单击【下一页】,1. 每页10条记录，可以翻页显示,,2,功能测试,系统测试阶段
/人事管理/员工管理(#208),【新增】功能页面元素,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】",1. 单击【新增】,1. 与SRS原型图一致，包含姓名、工号、职位、电话、邮箱、QQ、五个输入域和区域、部门、性别三个下拉选择框,,1,功能测试,系统测试阶段
/人事管理/员工管理(#208),【新增】功能输入正确数据,"1.输入""账号""：WNCD000 ""密码""：woniu123 单击【登录】
2.单击【解密】，输入""二次密码""：woniu123
3.在快捷导航栏中单击【人事管理】
4.在页面【人事管理】中单击【员工管理】","1. 单击【新增】
2. ""姓名""输入框输入""陈华""
3. ""工号""输入框输入""WNXZ333""
4. ""职位""输入框输入""行政专员""
5. ""电话""输入框输入""15000000000""
6. ""邮箱""输入框输入""zhaoqiansun@woniuxy.com""
7. ""区域""下拉框选择""西安""
8.""部门""下拉框选择""管理部部""
9.""性别""下拉框选择""男""
10. 单击【保存】","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9.页面显示""新增成功""
10.数据库员工表中，出现该条数据",,1,功能测试,系统测试阶段
