所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
/学员管理(#13),周考分数框输入负数,"1. 成功打开页面
2. 教师角色成功登录系统
3. 点击学员管理
4. 点击考评录入","1. 选择一条信息点击周考按钮
2. 选择周数为第一周
3. 在分数框输入负数-1
4. 点击保存按钮","1. 
2. 
3. 
4. 保存失败，提示‘分数只能为0-100数字’",3,功能测试,"
功能测试阶段"
/学员管理(#13),周考分数框输入101,"1. 成功打开页面
2. 教师角色成功登录系统
3. 点击学员管理
4. 点击考评录入","1. 选择未录入过第一周周考成绩的信息点击周考按钮
2. 选择周数为第一周
3. 在分数框输入101
4. 点击保存按钮","1. 
2. 
3. 
4. 保存失败，提示‘分数只能为0-100数字’",3,功能测试,"
功能测试阶段"
/学员管理(#13),周考分数框输入特殊字符,"1. 成功打开页面
2. 教师角色成功登录系统
3. 点击学员管理
4. 点击考评录入","1. 选择未录入过第一周周考成绩的信息点击周考按钮
2. 选择周数为第一周
3. 在分数框输入8$
4. 点击保存按钮","1. 
2. 
3. 
4. 保存失败，提示‘分数只能为0-100数字’",3,功能测试,"
功能测试阶段"
/学员管理(#13),重复录入周考成绩,"1. 成功打开页面
2. 教师角色成功登录系统
3. 点击学员管理
4. 点击考评录入","1. 选择已录入过第一周周考成绩的信息点击周考按钮
2. 选择周数为第一周
3. 在分数框输入82
4. 点击保存按钮","1. 
2. 
3. 
4. 保存失败，提示‘该周考记录已存在’",3,功能测试,"
功能测试阶段"
/学员管理(#13),阶段考分数框输入负数,"1. 成功打开页面
2. 教师角色成功登录系统
3. 点击学员管理
4. 点击考评录入","1. 选择未录入过第一阶段阶段考成绩的信息点击阶段考按钮
2. 选择阶段为第一阶段
3. 在分数框输入-1
4. 点击保存按钮","1. 
2. 
3. 
4. 保存失败，提示‘分数只能为0-100数字’",3,功能测试,"
功能测试阶段"
/学员管理(#13),阶段考分数框输入包含特殊字符,"1. 成功打开页面
2. 教师角色成功登录系统
3. 点击学员管理
4. 点击考评录入","1. 选择未录入过第一阶段阶段考成绩的信息点击阶段考按钮
2. 选择阶段为第一阶段
3. 在分数框输入5#
4. 点击保存按钮","1. 
2. 
3. 
4. 保存失败，提示‘分数只能为0-100数字’",3,功能测试,"
功能测试阶段"
/学员管理(#13),阶段考分数框输入101,"1. 成功打开页面
2. 教师角色成功登录系统
3. 点击学员管理
4. 点击考评录入","1. 选择未录入过第一阶段阶段考成绩的信息点击阶段考按钮
2. 选择阶段为第一阶段
3. 在分数框输入101
4. 点击保存按钮","1. 
2. 
3. 
4. 保存失败，提示‘分数只能为0-100数字’",3,功能测试,"
功能测试阶段"
/学员管理(#13),重复录入阶段考成绩,"1. 成功打开页面
2. 教师角色成功登录系统
3. 点击学员管理
4. 点击考评录入","1. 选择未录入过第一阶段阶段考成绩的信息点击阶段考按钮
2. 选择阶段为第一阶段
3. 在分数框输入85
4. 点击保存按钮","1. 
2. 
3. 
4. 保存失败，提示‘该阶段考记录已存在’",3,功能测试,"
功能测试阶段"
/教学管理(#5),新增班级-查看班号默认值,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击班级管理",1. 点击新增按钮,1. 班号默认值为‘WNCDC’,3,功能测试,"
功能测试阶段"
/教学管理(#5),新增班级-输入合法信息,"1. 成功打开页面
2. 教学主管角色成功登录系统
3. 点击教学管理
4. 点击班级管理","1. 点击新增按钮
2. 班号输入013
3. 方向选择测试
4. 时间选择2020-04-03
5. 点击保存按钮","1. 
2. 
3.
4. 
5. 保存成功，列表成功显示，数据库新增成功",3,功能测试,"
功能测试阶段"
